Station,Date,tre200s0,rre150z0_x,sre000z0,gre000z0,ure200s0,tde200s0,dkl010z0,fu3010z0,fu3010z1,prestas0,pp0qffs0,pp0qnhs0,ppz850s0,ppz700s0,dv1towz0,fu3towz0,fu3towz1,ta1tows0,uretows0,tdetows0,Kanton,Niederschlag
COY,2024-03-07 12:50,3.80,0.00,-,-,95.80,3.20,57.00,19.10,25.60,-,-,-,-,-,-,-,-,-,-,-,BE,
CMA,2024-03-07 12:50,-5.80,-,10.00,691.00,85.40,-7.90,236.00,23.00,29.50,747.50,-,1012.20,-,2996.10,-,-,-,-,-,-,GR,
CRM,2024-03-07 12:50,6.30,0.00,-,295.00,76.50,2.50,58.00,13.30,19.80,966.80,1018.70,1017.70,-,-,-,-,-,-,-,-,NE,
DAV,2024-03-07 12:50,2.60,0.00,10.00,748.00,65.00,-3.30,30.00,16.20,20.20,836.20,-,1013.80,1462.90,-,-,-,-,-,-,-,GR,
DEM,2024-03-07 12:50,6.50,0.00,0.00,315.00,77.70,2.90,120.00,13.30,21.60,965.70,1018.60,1017.60,-,-,-,-,-,-,-,-,JU,
DIS,2024-03-07 12:50,5.30,0.00,9.00,481.00,66.40,-0.40,176.00,4.30,7.60,878.90,-,1015.00,1471.00,-,-,-,-,-,-,-,GR,
EBK,2024-03-07 12:50,4.40,0.00,0.00,264.00,77.10,0.70,25.00,8.30,12.60,944.30,-,1017.30,1472.50,-,-,-,-,-,-,-,SG,
EGH,2024-03-07 12:50,-,-,10.00,735.00,-,-,117.00,5.40,12.20,710.00,-,1012.40,-,3005.70,-,-,-,-,-,-,VS,
EGO,2024-03-07 12:50,4.90,0.00,-,152.00,85.10,2.60,100.00,5.40,10.10,956.20,1019.00,1017.70,-,-,-,-,-,-,-,-,LU,
EIN,2024-03-07 12:50,1.60,0.00,0.00,369.00,98.70,1.40,5.00,4.30,6.80,911.10,-,1016.20,1467.50,-,-,-,-,-,-,-,SZ,
ELM,2024-03-07 12:50,2.50,0.00,10.00,655.00,77.00,-1.10,143.00,3.20,4.70,905.50,-,1015.70,1467.10,-,-,-,-,-,-,-,GL,
ENG,2024-03-07 12:50,2.70,0.00,1.00,847.00,77.60,-0.80,221.00,10.80,15.80,897.10,-,1015.90,1471.40,-,-,-,-,-,-,-,OW,
EVI,2024-03-07 12:50,10.10,0.00,10.00,630.00,50.10,0.20,338.00,14.40,25.90,959.00,1016.00,1015.80,-,-,-,-,-,-,-,-,VS,
EVO,2024-03-07 12:50,1.20,0.00,10.00,715.00,50.50,-7.90,274.00,6.80,12.60,812.50,-,1013.90,1463.80,-,-,-,-,-,-,-,VS,
FAH,2024-03-07 12:50,7.30,0.00,8.00,648.00,67.80,1.80,87.00,16.60,30.20,946.50,1017.20,1016.50,-,-,-,-,-,-,-,-,JU,
FLU,2024-03-07 12:50,1.00,0.00,-,-,89.80,-0.50,311.00,6.10,11.20,-,-,-,-,-,-,-,-,-,-,-,LU,
GRA,2024-03-07 12:50,6.00,0.00,10.00,701.00,80.50,2.90,350.00,7.60,14.40,940.60,-,1016.70,1473.40,-,-,-,-,-,-,-,FR,
FRU,2024-03-07 12:50,4.80,0.00,10.00,698.00,70.70,-0.10,66.00,11.50,18.00,-,-,-,-,-,-,-,-,-,-,-,BE,
GVE,2024-03-07 12:50,8.80,0.00,10.00,648.00,49.80,-1.10,54.00,11.50,16.90,967.80,1017.00,1016.50,-,-,-,-,-,-,-,-,GE,
GES,2024-03-07 12:50,4.00,0.00,-,-,80.10,0.90,233.00,3.20,6.10,956.40,1019.30,1017.70,-,-,-,-,-,-,-,-,SZ,
GIH,2024-03-07 12:50,6.30,0.00,0.00,303.00,71.70,1.60,52.00,4.00,9.00,962.20,1018.90,1017.90,-,-,-,-,-,-,-,-,OW,
GLA,2024-03-07 12:50,7.40,0.00,10.00,686.00,67.60,1.80,258.00,14.40,20.20,955.90,1017.50,1016.80,-,-,-,-,-,-,-,-,GL,
GOR,2024-03-07 12:50,-7.60,-,10.00,736.00,55.00,-15.10,159.00,5.80,10.10,688.60,-,1012.10,-,3003.30,-,-,-,-,-,-,VS,
GRE,2024-03-07 12:50,6.00,0.00,0.00,242.00,81.90,3.10,52.00,14.40,19.40,967.20,1018.90,1017.90,-,-,-,-,-,-,-,-,SO,
GRH,2024-03-07 12:50,0.00,0.00,10.00,704.00,54.00,-8.20,132.00,15.10,22.30,799.40,-,1014.00,1466.50,-,-,-,-,-,-,-,BE,
GRO,2024-03-07 12:50,12.60,0.00,0.00,209.00,38.00,-1.30,311.00,1.10,3.20,977.20,1015.50,1015.60,-,-,-,-,-,-,-,-,GR,
GRC,2024-03-07 12:50,3.50,0.00,10.00,685.00,46.00,-7.00,-,-,-,834.90,-,1013.60,1460.00,-,-,-,-,-,-,-,VS,
