Station Category,Station Type,ID Hash,WMO ID,Alternative IDs,Ort,"Location Lat,Lon",elevation,id_meteomatics
SYNOP,SYNO,2306497475,,WHF,Riedholz / Wallierhof,"47.2343,7.5627",518.0,"47.2343,7.5627"
SYNOP,SYNO,2306523058,,VST,La Valsainte,"46.6478,7.17856",1044.0,"46.6478,7.17856"
SYNOP,SYNO,2325792842,,MAT,Martina,"46.884,10.463",1041.0,"46.884,10.463"
SYNOP,SYNO,2326118230,,SRE,Sierre,"46.2985,7.55723",536.0,"46.2985,7.55723"
SYNOP,SYNO,2333930304,,AFI,Andelfingen,"47.6016,8.6861",382.0,"47.6016,8.6861"
SYNOP,SYNO,2355842234,,INN,Innerthal,"47.1064,8.91528",903.0,"47.1064,8.91528"
SYNOP,SYNO,2361948292,66180.0,MAH,Mathod,"46.737,6.56798",435.0,"46.737,6.56798"
SYNOP,SYNO,2364053173,,ZWK,Zwillikon,"47.2901,8.43196",461.0,"47.2901,8.43196"
SYNOP,SYNO,2378547981,,COG,Combe-Garot,"46.9529,6.75669",629.0,"46.9529,6.75669"
SYNOP,SYNO,2397541569,66140.0,MAR,Les Marécottes,"46.1189,7.0166",990.0,"46.1189,7.0166"
SYNOP,SYNO,2402011870,,WEE,Weesen,"47.1316,9.08609",425.0,"47.1316,9.08609"
SYNOP,SYNO,2408488614,66100.0,PAY,Payerne,"46.8116,6.94247",490.0,"46.8116,6.94247"
SYNOP,SYNO,2423316293,,TAM,Tamins,"46.8317,9.40693",667.0,"46.8317,9.40693"
SYNOP,SYNO,2440604288,67070.0,VIT,Villars-Tiercelin,"46.6218,6.71007",859.0,"46.6218,6.71007"
SYNOP,SYNO,2454000484,,LUN,Lungern,"46.7851,8.16251",740.0,"46.7851,8.16251"
SYNOP,SYNO,2456379163,,STE,Steckborn,"47.6621,8.9719",399.0,"47.6621,8.9719"
SYNOP,SYNO,2458137721,66380.0,LAG,Langnau i.E.,"46.9396,7.80642",744.0,"46.9396,7.80642"
SYNOP,SYNO,2471288936,,MMO,Mormont,"47.4381,7.03733",535.0,"47.4381,7.03733"
SYNOP,SYNO,2474602610,,VSBSP,Bourg-St-Pierre,"45.9276,7.19821",1822.0,"45.9276,7.19821"
SYNOP,SYNO,2479013897,,ZOF,Zofingen,"47.2802,7.94339",432.0,"47.2802,7.94339"
SYNOP,SYNO,2484985463,,VSSOR,Sorniot-Lac Inférieur,"46.1666,7.0998",1990.0,"46.1666,7.0998"
SYNOP,SYNO,2507291825,66780.0,BIZ,Bischofszell,"47.5088,9.2668",507.0,"47.5088,9.2668"
SYNOP,SYNO,2510994997,,VSSAL,Saleina,"45.986,7.09396",1600.0,"45.986,7.09396"
SYNOP,SYNO,2562812657,66280.0,PLF,Plaffeien,"46.7477,7.26626",1042.0,"46.7477,7.26626"
SYNOP,SYNO,2565247418,66250.0,GRA,Fribourg / Grangeneuve,"46.7714,7.11374",651.0,"46.7714,7.11374"
SYNOP,SYNO,2576164414,,MGB,Mogelsberg,"47.3614,9.13604",766.0,"47.3614,9.13604"
SYNOP,SYNO,2592672265,,CAV,Cavaglia,"46.3679,10.0364",1707.0,"46.3679,10.0364"
SYNOP,SYNO,2600464237,67350.0,ABO,Adelboden,"46.4917,7.5607",1321.0,"46.4917,7.5607"
SYNOP,SYNO,2611462111,67530.0,PIO,Piotta,"46.5148,8.68804",990.0,"46.5148,8.68804"
SYNOP,SYNO,2613901822,,YVN,Yverdon-les-Bains,"46.7819,6.65099",432.0,"46.7819,6.65099"
SYNOP,SYNO,2614907723,,GUG,Guglera,"46.7497,7.24285",877.0,"46.7497,7.24285"
SYNOP,SYNO,2625614239,,TRO,Trogen,"47.3992,9.4546",975.0,"47.3992,9.4546"
SYNOP,SYNO,2656521620,,COS,Cossonay,"46.6095,6.49308",590.0,"46.6095,6.49308"
SYNOP,SYNO,2661774761,,MES,Mesocco,"46.3956,9.23109",825.0,"46.3956,9.23109"
SYNOP,SYNO,2665481690,,LUT,Luthern,"47.0582,7.91861",767.0,"47.0582,7.91861"
SYNOP,SYNO,2670959045,66590.0,PIL,Pilatus,"46.9789,8.25226",2105.0,"46.9789,8.25226"
SYNOP,SYNO,2675856182,,ROT,Rothenbrunnen,"46.7657,9.41847",622.0,"46.7657,9.41847"
SYNOP,SYNO,2701177183,67580.0,GRO,Grono,"46.2551,9.16376",324.0,"46.2551,9.16376"
SYNOP,SYNO,2701858041,,ORZ,Orzens,"46.722,6.68173",624.0,"46.722,6.68173"
SYNOP,SYNO,2704051060,,VSISE,Isérables,"46.1609,7.24874",1237.0,"46.1609,7.24874"
SYNOP,SYNO,2704408288,66520.0,FLU,"Flühli, LU","46.8894,8.02034",940.0,"46.8894,8.02034"
SYNOP,SYNO,2707304309,66330.0,BUS,Buchs / Aarau,"47.3844,8.07955",387.0,"47.3844,8.07955"
SYNOP,SYNO,2714062622,,EGL,Lachen / Eggen,"47.4339,9.58666",930.0,"47.4339,9.58666"
SYNOP,SYNO,2718939193,67200.0,SIO,Sion,"46.2186,7.3302",482.0,"46.2186,7.3302"
SYNOP,SYNO,2742761653,,CNZ,Chanéaz,"46.7293,6.74284",758.0,"46.7293,6.74284"
SYNOP,SYNO,2751685248,67920.0,SAM,Samedan,"46.5262,9.87947",1709.0,"46.5262,9.87947"
SYNOP,SYNO,2751948543,67510.0,ROE,Robièi,"46.4431,8.51339",1898.0,"46.4431,8.51339"
SYNOP,SYNO,2756048298,,UBB,Bözberg,"47.4817,8.13185",536.0,"47.4817,8.13185"
SYNOP,SYNO,2763659972,,SON,Sonogno,"46.3496,8.78823",910.0,"46.3496,8.78823"
SYNOP,SYNO,2779493647,66710.0,STK,Steckborn,"47.6686,8.98143",397.0,"47.6686,8.98143"
SYNOP,SYNO,2796708837,,KIE,Kiental,"46.5826,7.7271",930.0,"46.5826,7.7271"
SYNOP,SYNO,2811546842,,KUE,"Küsnacht, ZH","47.3103,8.58532",412.0,"47.3103,8.58532"
SYNOP,SYNO,2822941520,,PAV,Payerne / Ville,"46.8334,6.93551",447.0,"46.8334,6.93551"
SYNOP,SYNO,2823630443,66760.0,AEG,Oberägeri,"47.1336,8.60821",724.0,"47.1336,8.60821"
SYNOP,SYNO,2852675505,66040.0,NEU,Neuchâtel,"47.0001,6.9533",485.0,"47.0001,6.9533"
SYNOP,SYNO,2868372038,,FAI,Faido,"46.4775,8.80529",747.0,"46.4775,8.80529"
SYNOP,SYNO,2880089697,66850.0,GLA,Glarus,"47.0346,9.06696",517.0,"47.0346,9.06696"
SYNOP,SYNO,2885597367,,ARI,Arisdorf,"47.507,7.77459",480.0,"47.507,7.77459"
SYNOP,SYNO,2889270042,,JAU,Jaun,"46.6116,7.27589",1029.0,"46.6116,7.27589"
SYNOP,SYNO,2892015038,67210.0,BIN,Binn,"46.3677,8.19231",1479.0,"46.3677,8.19231"
SYNOP,SYNO,2895215938,,BUC,"Buch, SH","47.7172,8.7839",414.0,"47.7172,8.7839"
SYNOP,SYNO,2925597553,,VSTUR,Turtmann,"46.1698,7.69241",2180.0,"46.1698,7.69241"
SYNOP,SYNO,2944188248,,VSSAB,Saas Balen,"46.1488,7.92835",1535.0,"46.1488,7.92835"
SYNOP,SYNO,2945000106,66050.0,CHA,Chasseral,"47.1318,7.05437",1594.0,"47.1318,7.05437"
SYNOP,SYNO,2949461097,67820.0,DIS,Disentis,"46.7066,8.85348",1197.0,"46.7066,8.85348"
SYNOP,SYNO,2961915703,,CBS,Châbles,"46.826,6.81571",589.0,"46.826,6.81571"
SYNOP,SYNO,2963019548,,UNK,Unterkulm,"47.3198,8.11108",454.0,"47.3198,8.11108"
SYNOP,SYNO,2969051499,,PIG,Pigniu,"46.8103,9.11514",1325.0,"46.8103,9.11514"
SYNOP,SYNO,2969809710,,BEP,Belp,"46.9061,7.50534",510.0,"46.9061,7.50534"
SYNOP,SYNO,2990335017,,VSDER,Derborence,"46.2885,7.23251",1366.0,"46.2885,7.23251"
SYNOP,SYNO,2993198528,,HIW,Hinwil,"47.3035,8.84245",577.0,"47.3035,8.84245"
SYNOP,SYNO,2994763796,,VAE,Vättis,"46.9091,9.4436",939.0,"46.9091,9.4436"
SYNOP,SYNO,3018571663,,LAP,Laupen,"46.9171,7.24101",483.0,"46.9171,7.24101"
SYNOP,SYNO,3031845920,67040.0,BIE,Bière,"46.5249,6.34239",684.0,"46.5249,6.34239"
SYNOP,SYNO,3058043844,66210.0,GUT,Güttingen,"47.6017,9.27943",440.0,"47.6017,9.27943"
SYNOP,SYNO,3066507557,,ARB,Arbon,"47.5015,9.43639",401.0,"47.5015,9.43639"
SYNOP,SYNO,3069528017,66660.0,LEI,Leibstadt,"47.5974,8.1882",341.0,"47.5974,8.1882"
