Kanton,Koordinaten,id_meteostat,country,wmo,icao,elevation,timezone,id_openweathermap,Ort,Region
,"45.720661,7.2869",,IT,,,,,3175840.0,Gressan,Aostatal
,"45.72197,8.81433",,IT,,,,,3166440.0,Solbiate Arno,Varese
,"45.722069,8.83424",,IT,,,,,3180488.0,Carnago,Varese
,"45.722172,8.69613",,IT,,,,,3164548.0,Vergiate,Varese
,"45.72438,9.07294",,IT,,,,,3164506.0,Vertemate Con Minoprio,Como
,"45.72438,9.27994",,IT,,,,,6534489.0,Renate,Lecco
,"45.72456,7.70181",,IT,,,,,3177403.0,Emarese,Aostatal
,"45.725658,7.3926",,IT,,,,,3181519.0,Grand Brissogne,Aostatal
,"45.726082,8.63397",,IT,,,,,3166604.0,Sesto Calende,Varese
,"45.727261,7.3522",,IT,,,,,3170374.0,Pollein,Aostatal
,"45.72728,9.03784",,IT,,,,,6534413.0,Cadorago-Caslino al Piano,Como
,"45.727581,9.01984",,IT,,,,,6535125.0,Guanzate,Como
,"45.729172,8.80163",,IT,,,,,3183311.0,Albizzate,Varese
,"45.729382,9.14054",,IT,,,,,3180758.0,Cantù,Como
,"45.731461,7.4482",,IT,,,,,6534762.0,Saint Marcel,Aostatal
,"45.7333,7.35",16054,IT,16054,,547.0,Europe/Rome,,Aosta,Aostatal
,"45.733459,7.4977",,IT,,,,,6534424.0,Petit Fenis,Aostatal
,"45.733879,9.27024",,IT,,,,,6534950.0,Veduggio Con Colzano,Lecco
,"45.735771,8.83173",,IT,,,,,6534913.0,Caronno Varesino,Varese
,"45.736881,8.89694",,IT,,,,,3164609.0,Venegono Inferiore,Varese
,"45.737179,9.21774",,IT,,,,,3175497.0,Inverigo,Como
,"45.737358,7.3166",,IT,,,,,3182997.0,Aosta,Aostatal
,"45.737579,8.97874",,IT,,,,,3182965.0,Appiano Gentile,Como
,"45.737671,8.78163",,IT,,,,,3166032.0,Sumirago,Varese
,"45.738861,7.58831",,IT,,,,,6534708.0,Pontey,Aostatal
,"45.739281,9.09294",,IT,,,,,6535121.0,Cucciago,Como
,"45.7394,7.362",LIMW0,IT,,LIMW,546.0,Europe/Rome,,Aosta / Pollein,Aostatal
,"45.740261,7.4666",,IT,,,,,6535075.0,Nus,Aostatal
,"45.740959,7.4152",,IT,,,,,3169712.0,Quart,Aostatal
,"45.741581,8.85994",,IT,,,,,6534455.0,Gornate Olona,Varese
,"45.742882,9.04764",,IT,,,,,3176976.0,Fino Mornasco,Como
,"45.742981,9.18714",,IT,,,,,3181571.0,Brenna,Como
,"45.744259,7.54931",,IT,,,,,3178921.0,Chambave,Aostatal
,"45.74567,8.81283",,IT,,,,,3179374.0,Castronno,Varese
,"45.74577,8.75123",,IT,,,,,3172585.0,Mornago,Varese
,"45.746262,7.074",,IT,,,,,3175093.0,La Salle,Aostatal
,"45.746479,9.26894",,IT,,,,,6534692.0,Nibionno,Lecco
,"45.747082,9.00644",,IT,,,,,6534412.0,Bulgarograsso,Como
,"45.75,7.25",,IT,,,,,3164857.0,Regione Autonoma Valle d'Aosta,Aostatal
