id_meteostat,Ort,country,wmo,icao,elevation,timezone,Koordinaten,Region
06690,Altenrhein-Flugplatz,CH,06690,LSZR,398.0,Europe/Zurich,"47.4833,9.3833",Amriswil
06693,Ebnat-kappel,CH,06693,,623.0,Europe/Zurich,"47.2733,9.1086",Hulftegg-Untertoggenburg
06700,Geneve-Cointrin,CH,06700,LSGG,420.0,Europe/Zurich,"46.25,6.1333",Genf
06702,La Dole,CH,06702,,1670.0,Europe/Zurich,"46.4333,6.1",Saint-cergue
06705,Nyon / Changins,CH,06705,,455.0,Europe/Zurich,"46.4011,6.2278",Nyon-terre sainte
06710,Lausanne,CH,06710,LSGL,616.0,Europe/Zurich,"46.55,6.6167",Lausanne-Lavaux
06711,Pully,CH,06711,,456.0,Europe/Zurich,"46.5122,6.6675",Lausanne-Lavaux
06712,Aigle,CH,06712,,381.0,Europe/Zurich,"46.3333,6.9167",Vouvry
06717,Grand St. Bernard / Grand Saint Bernard,CH,06717,,2472.0,Europe/Zurich,"45.8689,7.1708",Val d‘Entremont-Val Ferret
06720,Sion,CH,06720,LSGS,482.0,Europe/Zurich,"46.2167,7.3333",Conthey-Fully
06722,Evolene / Villa,CH,06722,,1825.0,Europe/Zurich,"46.1122,7.5086",Val d‘Hérens
06724,Montana,CH,06724,,1508.0,Europe/Zurich,"46.3167,7.4833",Sion-Crans-Montana
06727,Visp / Ausserberg,CH,06727,,639.0,Europe/Zurich,"46.3028,7.8431",Lötschental-Naters
06730,Jungfraujoch,CH,06730,,3580.0,Europe/Zurich,"46.55,7.9833",Lauterbrunnen-Wilderswil
06734,Interlaken,CH,06734,LSMI,580.0,Europe/Zurich,"46.6667,7.8667",Brienz-Interlaken
06735,Adelboden,CH,06735,,1320.0,Europe/Zurich,"46.4919,7.5611",Adelboden-Kandersteg
06744,Grimsel-Hospiz / Räterichsboden,CH,06744,,1980.0,Europe/Zurich,"46.5717,8.3333",Innertkirchen-Guttannen
06745,Ulrichen ,CH,06745,LSMC,1340.0,Europe/Zurich,"46.5047,8.3036",Obergoms
06748,Zermatt / Ried,CH,06748,,1638.0,Europe/Zurich,"46.0292,7.7531",Oberes Mattertal
06750,Guetsch,CH,06750,,2287.0,Europe/Zurich,"46.65,8.6167",Urserntal
06751,Robiei / Arzo,CH,06751,,1895.0,Europe/Zurich,"46.4431,8.5133",Alta Valmaggia
06753,Piotta,CH,06753,,1007.0,Europe/Zurich,"46.5167,8.6833",Leventina
06756,Comprovasco,CH,06756,,575.0,Europe/Zurich,"46.4667,8.9333",Blenio
06759,Cimetta,CH,06759,,1672.0,Europe/Zurich,"46.2,8.8",Locarnese
06760,Locarno-Monti,CH,06760,,366.0,Europe/Zurich,"46.1667,8.7833",Locarnese
06762,Locarno-Magadino,CH,06762,LSZL,197.0,Europe/Zurich,"46.1667,8.8833",Bellinzonese
06770,Lugano,CH,06770,LSZA,273.0,Europe/Zurich,"46.0,8.9667",Luganese
06771,Stabio,CH,06771,,353.0,Europe/Zurich,"45.85,8.9333",Mendrisiotto
06775,Lugano-Agno,CH,06775,,279.0,Europe/Zurich,"46.0,8.9",Luganese
06778,Buffalora / Il Fuorn,CH,06778,,1968.0,Europe/Zurich,"46.6481,10.2672",S‘charl-d‘Uina
06780,Weissfluhjoch / Schatzalp,CH,06780,,2690.0,Europe/Zurich,"46.8333,9.8064",Schanfigg
06782,Disentis,CH,06782,,1190.0,Europe/Zurich,"46.7,8.85",nördliches Tavetsch
06783,San Bernardino,CH,06783,,1639.0,Europe/Zurich,"46.4667,9.1833",Alto Moesano
06784,Davos / Davos Dorf,CH,06784,,1594.0,Europe/Zurich,"46.8131,9.8436",Davos
06786,Chur-Ems,CH,06786,,555.0,Europe/Zurich,"46.8667,9.5333",Landquart-Chur
06787,Tinzen / Pignieu,CH,06787,,987.0,Europe/Zurich,"46.61,9.4319",Schams
06788,Hinterrhein / Nufenen,CH,06788,,1089.0,Europe/Zurich,"46.3531,9.6278",Bregaglia
06790,St. Moritz,CH,06790,,1850.0,Europe/Zurich,"46.5,9.85",San Moritz
06791,Corvatsch,CH,06791,,3315.0,Europe/Zurich,"46.4167,9.8167",San Moritz
06792,Samedam-Flugplatz,CH,06792,,1705.0,Europe/Zurich,"46.5333,9.8833",San Moritz
06794,Robbia,CH,06794,,1078.0,Europe/Zurich,"46.35,10.0667",Poschiavo
06795,Piz Martegnas / Radons,CH,06795,,2670.0,Europe/Zurich,"46.5772,9.5297",Savognin
06798,Scuol / Vulpera,CH,06798,,1304.0,Europe/Zurich,"46.7933,10.2833",Zernez
06799,Naluns / Schlivera / Ftan,CH,06799,,2400.0,Europe/Zurich,"46.8172,10.2614",Scuol-Samnaun
LSGC0,Les Eplatures,CH,,LSGC,1025.0,Europe/Zurich,"47.0855,6.7945",La Chaux-de-Fonds - Le Locle
LSMA0,Alpnach,CH,,LSMA,440.0,Europe/Zurich,"46.9425,8.2856",Luzern-Alpnach
LSMD0,Duebendorf  / Dubendorf / Dübendorf / Schoren,CH,,LSMD,442.0,Europe/Zurich,"47.3983,8.6483",Effretikon
LSZB0,Bern / Bern - Belp Airport,CH,,LSZB,510.0,Europe/Zurich,"46.9136,7.5003",Thun-Belp
LSZC0,Buochs,CH,,LSZC,433.0,Europe/Zurich,"46.9744,8.3969",Luzern-Alpnach
LSZS0,Samedan ,CH,,LSZS,1707.0,Europe/Zurich,"46.5353,9.8853",San Moritz
10908,Feldberg,DE,10908,,1486.0,Europe/Berlin,"47.8833,8.0",Breisgau-Hochschwarzwald
10912,Donaueschingen / Villingen,DE,10912,EDTD,680.0,Europe/Berlin,"47.9667,8.5167",Landkreis Schwarzwald-Baar-Kreis
10929,Konstanz,DE,10929,EDTZ,443.0,Europe/Berlin,"47.6833,9.1833",Konstanz
10935,Friedrichshafen,DE,10935,EDNY,416.0,Europe/Berlin,"47.6667,9.5167",Landkreis Bodenseekreis
D0259,Müllheim,DE,,,273.0,Europe/Berlin,"47.8064,7.6387",Breisgau-Hochschwarzwald
D0498,Ühlingen-Birkendorf,DE,,,760.0,Europe/Berlin,"47.7453,8.3111",Waldshut
D0684,Breitnau,DE,,,1001.0,Europe/Berlin,"47.9385,8.0761",Breisgau-Hochschwarzwald
D0931,Deggenhausertal-Azenweiler,DE,,,708.0,Europe/Berlin,"47.8007,9.4108",Landkreis Bodenseekreis
D1176,Eisenbach,DE,,,976.0,Europe/Berlin,"47.9634,8.2693",Breisgau-Hochschwarzwald
D1584,Geisingen,DE,,,672.0,Europe/Berlin,"47.9242,8.6473",Tuttlingen
D1711,Gottmadingen,DE,,,438.0,Europe/Berlin,"47.7344,8.7932",Konstanz
D2953,Lenzkirch-Ruhbühl,DE,,,852.0,Europe/Berlin,"47.8597,8.2308",Breisgau-Hochschwarzwald
D3519,Neuhausen ob Eck-Unterschwandorf,DE,,,663.0,Europe/Berlin,"47.9519,8.9932",Tuttlingen
D3714,Oberreute,DE,,,903.0,Europe/Berlin,"47.5538,9.9407",Lindau (Bodensee)
D3716,Blumberg-Randen,DE,,,818.0,Europe/Berlin,"47.819,8.5774",Landkreis Schwarzwald-Baar-Kreis
D4351,"Säckingen, Bad (Bergseestr.)",DE,,,295.0,Europe/Berlin,"47.5582,7.9773",Waldshut
D4704,Sigmarszell-Zeisertsweiler,DE,,,507.0,Europe/Berlin,"47.5776,9.7404",Lindau (Bodensee)
D4881,Stockach,DE,,,532.0,Europe/Berlin,"47.8591,9.0152",Konstanz
D5059,Todtmoos,DE,,,781.0,Europe/Berlin,"47.728,7.9988",Waldshut
D5229,Villingen-Schwenningen,DE,,,720.0,Europe/Berlin,"48.0453,8.4608",Landkreis Schwarzwald-Baar-Kreis
D5688,Dachsberg-Wolpadingen,DE,,,880.0,Europe/Berlin,"47.7003,8.1057",Waldshut
D5731,Wutöschingen-Ofteringen,DE,,,398.0,Europe/Berlin,"47.6783,8.3801",Waldshut
D6258,Friedrichshafen-Unterraderach,DE,,,459.0,Europe/Berlin,"47.6845,9.4409",Landkreis Bodenseekreis
D6263,Singen,DE,,,445.0,Europe/Berlin,"47.7738,8.8219",Konstanz
D7322,Malsburg-Marzell,DE,,,700.0,Europe/Berlin,"47.766,7.7215",Lörrach
D7382,Wangen/Allgäu-Schwaderberg,DE,,,666.0,Europe/Berlin,"47.7095,9.8659",Ravensburg
EDSN0,Neuhausen ob Eck,DE,,EDSN,804.0,Europe/Berlin,"47.9767,8.9039",Tuttlingen
EDTR0,Herten,DE,,EDTR,282.0,Europe/Berlin,"47.5583,7.7417",Lörrach
GAJ9R,Engen/hegau,DE,,,540.0,Europe/Berlin,"47.8516,8.7673",Konstanz
N6B4G,Bonndorf/schwarzwald,DE,,,875.0,Europe/Berlin,"47.8194,8.3348",Waldshut
OXWGM,Titisee-neustadt-langenordnach,DE,,,870.0,Europe/Berlin,"47.9394,8.1933",Breisgau-Hochschwarzwald
RC742,Titisee-neustadt-waldau,DE,,,918.0,Europe/Berlin,"47.9761,8.1751",Breisgau-Hochschwarzwald
11101,Bregenz,AT,11101,,424.0,Europe/Vienna,"47.5,9.7333",Bregenz
11103,Hohenems / Dornbirn Flugfeld,AT,11103,LOIH,412.0,Europe/Vienna,"47.3833,9.7",Dornbirn
11105,Feldkirch,AT,11105,,439.0,Europe/Vienna,"47.2667,9.6",Feldkirch
11312,Galtuer / Tschafein,AT,11312,,1587.0,Europe/Vienna,"46.9678,10.1856",Landeck
16008,S. Valentino Alla Muta,IT,16008,,1459.0,Europe/Rome,"46.75,10.5333",Bozen
16052,Pian Rosa,IT,16052,LIMH,3480.0,Europe/Rome,"45.9333,7.7",Aostatal
16054,Aosta,IT,16054,,547.0,Europe/Rome,"45.7333,7.35",Aostatal
16066,Milano / Malpensa,IT,16066,LIMC,234.0,Europe/Rome,"45.6167,8.7333",Varese
16072,Monte Bisbino,IT,16072,LIMO,1319.0,Europe/Rome,"45.8667,9.0667",Como
LIMW0,Aosta / Pollein,IT,,LIMW,546.0,Europe/Rome,"45.7394,7.362",Aostatal
LIVE0,Passo Resia / Resia Pass,IT,,LIVE,1800.0,Europe/Rome,"46.8333,10.5",
07295,Belfort,FR,07295,LFSQ,422.0,Europe/Paris,"47.6333,6.8667",Territoire de Belfort
07296,Dorans,FR,07296,,401.0,Europe/Paris,"47.5917,6.8369",Territoire de Belfort
07299,Bale-Mulhouse,FR,07299,LFSB,270.0,Europe/Paris,"47.6,7.5167",Haut Rhin
07499,Chamonix / Chamonix Mont Blanc,FR,07499,,1029.0,Europe/Paris,"45.9167,6.8667",Haute-Savoie
LFSM0,Montbéliard-Courcelles / Montbeliard-Courcelles / Arbouans,FR,,LFSM,317.0,Europe/Paris,"47.487,6.7905",Doubs
06990,Vaduz,LI,06990,,460.0,Europe/Vaduz,"47.1333,9.5167",Liechtenstein
