id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
06685,Glarus / Ennenda,CH,GL,06685,,47.0347,9.0669,517.0,Europe/Zurich,,,,,,
06687,Quinten,CH,GL,06687,,47.1286,9.2161,419.0,Europe/Zurich,,,,,,
06688,Crap Masegn / Siat,CH,GR,06688,,46.8422,9.18,2480.0,Europe/Zurich,,,,,,
06689,Hoernli,CH,SG,06689,,47.3667,8.95,1144.0,Europe/Zurich,,,,,,
06690,Altenrhein-Flugplatz,CH,SG,06690,LSZR,47.4833,9.3833,398.0,Europe/Zurich,2004-05-10,2024-05-01,2010-11-27,2022-04-25,2013-01-01,2022-01-01
06693,Ebnat-kappel,CH,SG,06693,,47.2733,9.1086,623.0,Europe/Zurich,,,,,,
06700,Geneve-Cointrin,CH,GE,06700,LSGG,46.25,6.1333,420.0,Europe/Zurich,1935-01-01,2024-05-01,1955-01-01,2024-04-24,1955-01-01,2022-01-01
06702,La Dole,CH,VD,06702,,46.4333,6.1,1670.0,Europe/Zurich,,,,,,
06705,Nyon / Changins,CH,VD,06705,,46.4011,6.2278,455.0,Europe/Zurich,,,,,1949-01-01,1977-01-01
06710,Lausanne,CH,VD,06710,LSGL,46.55,6.6167,616.0,Europe/Zurich,,,,,,
06711,Pully,CH,VD,06711,,46.5122,6.6675,456.0,Europe/Zurich,,,,,,
06712,Aigle,CH,VD,06712,,46.3333,6.9167,381.0,Europe/Zurich,,,,,,
06717,Grand St. Bernard / Grand Saint Bernard,CH,VD,06717,,45.8689,7.1708,2472.0,Europe/Zurich,,,1864-01-01,2024-04-24,1864-01-01,2022-01-01
06720,Sion,CH,VS,06720,LSGS,46.2167,7.3333,482.0,Europe/Zurich,1955-01-01,2024-05-01,1901-01-01,2024-04-24,1901-01-01,2022-01-01
06722,Evolene / Villa,CH,VS,06722,,46.1122,7.5086,1825.0,Europe/Zurich,,,,,,
06724,Montana,CH,VS,06724,,46.3167,7.4833,1508.0,Europe/Zurich,,,,,,
06727,Visp / Ausserberg,CH,VS,06727,,46.3028,7.8431,639.0,Europe/Zurich,,,,,,
06730,Jungfraujoch,CH,VS,06730,,46.55,7.9833,3580.0,Europe/Zurich,,,,,,
06734,Interlaken,CH,BE,06734,LSMI,46.6667,7.8667,580.0,Europe/Zurich,,,,,,
06735,Adelboden,CH,BE,06735,,46.4919,7.5611,1320.0,Europe/Zurich,,,,,,
06744,Grimsel-Hospiz / Räterichsboden,CH,BE,06744,,46.5717,8.3333,1980.0,Europe/Zurich,,,,,,
06745,Ulrichen ,CH,VS,06745,LSMC,46.5047,8.3036,1340.0,Europe/Zurich,2017-01-20,2024-01-19,,,,
06748,Zermatt / Ried,CH,VS,06748,,46.0292,7.7531,1638.0,Europe/Zurich,,,,,,
06750,Guetsch,CH,UR,06750,,46.65,8.6167,2287.0,Europe/Zurich,,,,,,
06751,Robiei / Arzo,CH,TI,06751,,46.4431,8.5133,1895.0,Europe/Zurich,,,,,,
06753,Piotta,CH,TI,06753,,46.5167,8.6833,1007.0,Europe/Zurich,,,,,,
06756,Comprovasco,CH,TI,06756,,46.4667,8.9333,575.0,Europe/Zurich,,,,,,
06759,Cimetta,CH,TI,06759,,46.2,8.8,1672.0,Europe/Zurich,,,,,,
06760,Locarno-Monti,CH,TI,06760,,46.1667,8.7833,366.0,Europe/Zurich,,,,,,
06762,Locarno-Magadino,CH,TI,06762,LSZL,46.1667,8.8833,197.0,Europe/Zurich,1955-01-01,2024-05-01,1990-08-18,2022-04-25,2007-01-01,2022-01-01
06770,Lugano,CH,TI,06770,LSZA,46.0,8.9667,273.0,Europe/Zurich,1935-01-01,2024-05-01,1901-01-01,2024-04-24,1901-01-01,2022-01-01
06771,Stabio,CH,LM,06771,,45.85,8.9333,353.0,Europe/Zurich,,,,,,
06775,Lugano-Agno,CH,TI,06775,,46.0,8.9,279.0,Europe/Zurich,,,,,,
06778,Buffalora / Il Fuorn,CH,GR,06778,,46.6481,10.2672,1968.0,Europe/Zurich,,,,,,
06780,Weissfluhjoch / Schatzalp,CH,GR,06780,,46.8333,9.8064,2690.0,Europe/Zurich,,,,,,
06782,Disentis,CH,GR,06782,,46.7,8.85,1190.0,Europe/Zurich,,,,,,
06783,San Bernardino,CH,GR,06783,,46.4667,9.1833,1639.0,Europe/Zurich,,,,,,
06784,Davos / Davos Dorf,CH,GR,06784,,46.8131,9.8436,1594.0,Europe/Zurich,,,,,,
06786,Chur-Ems,CH,GR,06786,,46.8667,9.5333,555.0,Europe/Zurich,,,,,,
06787,Tinzen / Pignieu,CH,GR,06787,,46.61,9.4319,987.0,Europe/Zurich,,,,,,
06788,Hinterrhein / Nufenen,CH,GR,06788,,46.3531,9.6278,1089.0,Europe/Zurich,,,,,,
06790,St. Moritz,CH,GR,06790,,46.5,9.85,1850.0,Europe/Zurich,,,,,,
06791,Corvatsch,CH,GR,06791,,46.4167,9.8167,3315.0,Europe/Zurich,,,,,,
06792,Samedam-Flugplatz,CH,GR,06792,,46.5333,9.8833,1705.0,Europe/Zurich,,,,,,
06794,Robbia,CH,GR,06794,,46.35,10.0667,1078.0,Europe/Zurich,,,,,,
06795,Piz Martegnas / Radons,CH,GR,06795,,46.5772,9.5297,2670.0,Europe/Zurich,,,,,,
06798,Scuol / Vulpera,CH,GR,06798,,46.7933,10.2833,1304.0,Europe/Zurich,,,,,,
06799,Naluns / Schlivera / Ftan,CH,GR,06799,,46.8172,10.2614,2400.0,Europe/Zurich,,,,,,
LSGC0,Les Eplatures,CH,NE,,LSGC,47.0855,6.7945,1025.0,Europe/Zurich,2004-08-03,2024-05-01,2010-11-28,2022-04-25,2014-01-01,2022-01-01
LSMA0,Alpnach,CH,OW,,LSMA,46.9425,8.2856,440.0,Europe/Zurich,1977-12-12,2024-05-01,2005-09-20,2022-04-25,2020-01-01,2022-01-01
LSMD0,Duebendorf  / Dubendorf / Dübendorf / Schoren,CH,ZH,,LSMD,47.3983,8.6483,442.0,Europe/Zurich,2004-09-03,2024-05-01,2005-07-30,2022-04-25,2020-01-01,2022-01-01
LSZB0,Bern / Bern - Belp Airport,CH,BE,,LSZB,46.9136,7.5003,510.0,Europe/Zurich,1990-04-24,2024-05-01,2010-11-26,2022-04-25,2014-01-01,2022-01-01
LSZC0,Buochs,CH,NW,,LSZC,46.9744,8.3969,433.0,Europe/Zurich,2006-08-17,2024-05-01,2006-08-18,2022-04-25,2014-01-01,2022-01-01
LSZS0,Samedan ,CH,GR,,LSZS,46.5353,9.8853,1707.0,Europe/Zurich,2007-03-28,2024-05-01,2015-11-12,2022-04-25,2017-01-01,2022-01-01
