Kürzel,Kanton,Ort,id,country
,TI,Locarno-Magadino,06762,CH
,TI,Lugano-Agno,06775,CH
MAG,TI,Magadino / Cadenazzo,,CH
OTL,TI,Locarno / Monti,,CH
COM,TI,Acquarossa / Comprovasco,,CH
MTR,TI,Matro,,CH
LUG,TI,Lugano,06770,CH
PIO,TI,Piotta,06753,CH
BIA,TI,Biasca,,CH
GEN,TI,Monte Generoso,,CH
ANT,UR,Andermatt,,CH
ALT,UR,Altdorf,06672,CH
GOS,UR,Göschenen,,CH
GUE,UR,"Gütsch, Andermatt",,CH
,UR,Guetsch,06750,CH
,VD,Grand St. Bernard / Grand Saint Bernard,06717,CH
,VD,Lausanne,06710,CH
BIE,VD,Bière,,CH
,VD,La Dole,06702,CH
ORO,VD,Oron,,CH
DIA,VD,Les Diablerets,,CH
CHB,VD,Les Charbonnières,,CH
CGI,VD,Nyon / Changins,06705,CH
FRE,VD,Bullet / La Frétaz,,CH
MAH,VD,Mathod,,CH
AIG,VD,Aigle,06712,CH
PAY,VD,Payerne,06610,CH
VIT,VD,Villars-Tiercelin,,CH
,VD,Fretaz La / Vugelles,06619,CH
VEV,VD,Vevey / Corseaux,,CH
DOL,VD,La Dôle,,CH
PUY,VD,Pully,06711,CH
PRE,VD,St-Prex,,CH
CHD,VD,Château-d'Oex,,CH
CDM,VD,Col des Mosses,,CH
EGH,VS,Eggishorn,,CH
GRC,VS,Grächen,,CH
ULR,VS,Ulrichen,,CH
BLA,VS,"Blatten, Lötschental",,CH
GOR,VS,Gornergrat,,CH
MAR,VS,Les Marécottes,,CH
EVI,VS,Evionnaz,,CH
MTE,VS,Mottec,,CH
MVE,VS,Montana,06724,CH
EVO,VS,Evolène / Villa,,CH
MOB,VS,"Montagnier, Bagnes",,CH
ZER,VS,Zermatt,,CH
BIN,VS,Binn,,CH
,VS,Zermatt / Ried,06748,CH
VIS,VS,Visp,,CH
BOU,VS,Bouveret,,CH
,VS,Visp / Ausserberg,06727,CH
ATT,VS,Les Attelas,,CH
,VS,Evolene / Villa,06722,CH
SIO,VS,Sion,06720,CH
SIM,VS,Simplon-Dorf,,CH
,VS,Ulrichen ,06745,CH
GSB,VS,Col du Grand St-Bernard,,CH
JUN,VS,Jungfraujoch,06730,CH
,ZG,Oberaegeri / Oberägeri,06676,CH
CHZ,ZG,Cham,06674,CH
AEG,ZG,Oberägeri,,CH
LAE,ZH,Lägern,,CH
HOE,ZH,Hörnli,,CH
UEB,ZH,Uetliberg,,CH
WAE,ZH,Wädenswil,,CH
,ZH,Reckenholz / Bärenbohl,06664,CH
,ZH,Zurich Town / Ville.,06660,CH
,ZH,Wadenswil / Eichmüli,06673,CH
PFA,ZH,"Pfäffikon, ZH",,CH
KLO,ZH,Zürich / Kloten,,CH
SMA,ZH,Zürich / Fluntern,,CH
REH,ZH,Zürich / Affoltern,,CH
,ZH,Duebendorf  / Dubendorf / Dübendorf / Schoren,LSMD0,CH
,ZH,Zurich-Kloten,06670,CH
,ZH,Laegern,06669,CH
MRP,,,,CH
